signature,n,elements
aclortó,2,crótalo|trócola
aadenprs,2,prensada|despanar
adeilnrs,2,sardinel|deslinar
anorstu,3,saturno|soturna|tonsura
aacceinr,3,cacerina|carencia|acecinar
acdloor,3,locador|colodra|colador
aeginrrs,2,resignar|ingresar
aefirr,6,aferir|fraire|freira|fierra|feriar|friera
actuí,3,tucía|cuatí|acutí
aadelntu,3,tudelana|enlutada|adulante
aeirs,2,seria|aries
abeenst,2,besante|absente
acinors,3,narciso|carnios|cornisa
adejor,2,rodaje|rejado
aaacdeinort,2,arcedianato|atercianado
aaclmor,2,marlaco|morlaca
acloru,3,caluro|ocular|locura
aabelmru,2,embaular|amueblar
aetuñ,2,uñeta|uñate
aacim,2,camia|macia
acimoz,2,comiza|macizo
aaeegilmnorrt,2,reglamentario|arreglamiento
aceosñ,2,ceñosa|escaño
aacdeent,2,cadeneta|entecada
aceru,4,acure|recua|rueca|cuera
acenopz,2,zopenca|pencazo
agru,3,gura|agur|ruga
aaadeoprrs,3,separadora|repasadora|apresadora
aacchln,2,chancla|canchal
aaaddmn,2,damnada|mandada
acdelmors,2,mesclador|descolmar
aenortz,2,terzona|atrenzo
aaadnrtz,2,tranzada|tardanza
aacioprst,2,cortapisa|pasicorta
aceemnrt,3,mercante|certamen|cementar
ceennot,3,centeno|nocente|entonce
aegilr,2,ligera|religa
aacenst,2,cantesa|estanca
abceelrru,2,culebrera|culebrear
ailnov,2,alvino|vilano
aadeoprr,4,paradero|reparado|apoderar|aperador
aaaddemoprrs,2,desamparador|desparramado
ailmnoos,2,laminoso|mosolina
aceenrr,5,cernear|renacer|cernera|encarre|encerar
aacelnr,7,arancel|lancera|canelar|encalar|craneal|anclear|lancear
aadeoqrsu,2,rosqueada|saqueador
aabcnorr,3,carbonar|barranco|abroncar
deeiopqrrsu,2,pedrisquero|pesqueridor
abers,4,besar|serba|sabre|saber
agmor,4,gramo|gomar|morga|magro
aagmorr,3,amargor|gomarra|amorgar
aaeennrtv,2,ventanear|ventanera
ansí,4,asín|saín|anís|ansí
aaeggru,2,gaguear|gaguera
aadgmrru,2,madrugar|madurgar
aegilnr,4,relinga|laringe|garniel|enligar
acelmo,2,camelo|macelo
aeilnr,4,reinal|nielar|linear|linera
eeopst,2,espeto|posete
aabinostt,2,bastitano|botanista
aacijrr,2,jaricar|jarciar
aeeqstu,2,aqueste|saquete
addeenort,3,atendedor|redondeta|tendedora
aeimnr,2,minera|merina
aaadmort,2,matadora|amatador
abceorr,2,cabrero|bracero
aeelntuv,2,envuelta|eventual
adeoprt,2,petardo|trepado
acegilnoó,2,neológica|enológica
aacept,4,petaca|acepta|epacta|capeta
aaellnrt,3,entallar|llantera|llantear
aacelpr,4,placera|placear|parcela|aplacer
aacinrr,2,cinarra|ranciar
deinop,2,dipneo|pinedo
deprsé,2,résped|pedrés
adnoos,3,sonado|donosa|ondosa
adeemoprrst,2,desempotrar|emprestador
adelpu,2,peluda|palude
aadlpr,2,pardal|pradal
aorrs,3,sarro|rosar|sorra
cdeemoort,2,ectodermo|cometedor
beeimrst,2,embestir|bimestre
aejort,4,rojeta|tajero|artejo|retajo
adlnó,2,landó|ladón
aadilr,2,lirada|radial
aeerrrt,3,retraer|terrear|terrera
aacemorst,3,mostacera|moscareta|escamotar
aclloos,2,calloso|colosal
aaeelprst,2,pastelera|pastelear
acefiinnstó,2,festinación|infestación
ceilostá,2,elástico|tesálico
acenrs,2,nascer|censar
aabcrtu,2,trabuca|batucar
acddeemnoor,2,comendadero|recomendado
ailotv,3,latvio|vitola|altivo
aadem,2,meada|adema
aeemrr,2,rearme|remera
ceort,5,torce|cetro|corte|terco|recto
aciort,3,tracio|corita|coitar
cceinoort,2,concierto|cornecito
accehimor,2,chamicero|comichear
aafiilr,2,afiliar|filaria
adeorst,2,estrado|restado
acilp,3,plica|pical|pilca
aacopt,3,pacato|pataco|capota
aailnrt,2,latrina|latinar
aceiinr,2,cirinea|inercia
aegnt,2,genta|gante
aabelmr,3,alambre|embalar|arambel
aainoss,3,saniosa|sosaina|ansiosa
acehnorst,2,trasnoche|sochantre
aeeimnrtt,2,martinete|ritamente
accehhor,3,chochera|cohechar|chochear
aeejlnrt,3,lentejar|enjertal|ternejal
aadgru,2,guadra|guarda
aabirt,4,abitar|atibar|abatir|barita
aabiorrs,2,barriosa|asaborir
aaprt,5,aptar|tapar|rapta|trapa|parta
borru,3,rubor|rubro|burro
acdeiorrt,4,terciador|directora|retorcida|recitador
aeopst,5,pasote|estopa|petaso|sapote|espato
aeoprrt,8,portera|potrear|portear|porreta|partero|potrera|reparto|trapero
aceenrt,5,carente|encetar|trecena|tercena|encarte
adeirt,5,dietar|editar|ardite|tediar|ditera
abehmorr,3,horambre|hombrear|hombrera
amnot,2,manto|monta
afirs,2,safir|frisa
aceinnr,2,encinar|cernina
aaeghnorru,2,hornaguera|hornaguear
aaclrsu,2,asulcar|rusalca
aoorst,3,rotosa|torosa|ortosa
aadennt,2,nadante|andante
ciostí,2,tísico|cítiso
aimmo,2,momia|mioma
aenorrs,2,resonar|serrano
aadooprt,3,atropado|potadora|topadora
aceeimnost,2,secamiento|cesamiento
aejrv,2,vejar|verja
aajmru,2,ajumar|ramuja
airz,2,izar|riza
aadgor,3,rogada|argado|agrado
aaiptñ,2,pitaña|piñata
acinnou,2,innocua|anuncio
adeimnost,2,inmodesta|demostina
aaejrv,3,arveja|javera|avejar
aaaclln,2,canalla|callana
ablrru,2,burlar|burral
abert,2,berta|trabe
acorst,4,castor|costar|costra|castro
aortv,4,trova|travo|torva|votar
aceiqu,2,cequia|caique
os,2,so|os
deotu,2,dueto|deuto
adelorv,4,levador|dovelar|velador|valedor
abcilrru,2,lubricar|curbaril
aapt,3,tapa|pata|apta
adelmoru,4,emulador|moledura|almudero|lumadero
eoprtu,2,putero|puerto
aaejrt,3,taraje|jareta|rajeta
aegimnprr,2,empringar|impregnar
acddeiru,2,reducida|recudida
aaddiinorv,2,divinadora|adivinador
aacchinor,3,acochinar|ricachona|cariancho
abeorrñ,2,reboñar|barreño
aeegrrru,2,guerrera|guerrear
anorrt,2,tornar|tronar
aaccehnr,6,canchera|canchear|chancera|charneca|chancear|encachar
cehlní,2,chelín|lechín
aalmos,2,lamosa|saloma
aaacdelnt,2,lancetada|calendata
aeinrtt,3,treinta|tirante|retinta
deinost,2,destino|sentido
aacdehor,2,hacedora|echadora
aadenorst,2,asordante|asentador
aemost,2,estoma|temosa
bceimor,2,cembrio|cimbreo
aacrz,4,arcaz|craza|cazar|zarca
aabdmoruz,2,azumbrado|zumbadora
aaabdeorrv,2,braveadora|abrevadora
aaelst,2,saleta|estala
aceilnr,2,incaler|lincear
adosu,2,osuda|usado
anostu,4,onusta|asunto|untosa|tusona
aaacdeln,3,encalada|canelada|lanceada
aceopr,3,capero|copera|copear
aadelnorv,2,lavandero|volandera
abceotu,2,batueco|beatuco
aabcenorr,2,carbonear|carbonera
iloprt,3,potril|piltro|triplo
aacenrs,5,ensacar|caserna|cansera|encasar|acensar
aainrt,5,tarina|atinar|tirana|artina|ratina
acemorñ,2,marceño|morceña
aaelmpr,6,palmera|empalar|pleamar|palmear|lampear|lamprea
aagilmnr,3,marginal|milgrana|malignar
aadeenrstt,2,estandarte|desatentar
adnosu,3,nudosa|undosa|nasudo
ahijnor,2,hornija|hinojar
aacdnoorr,2,acordonar|roncadora
aeeoqrttu,2,toquetear|traqueteo
acdeeorr,3,creedora|recadero|acreedor
ehnré,2,rehén|herén
aaeinortv,2,venatoria|avariento
acers,4,cesar|sacre|cresa|secar
adlmoru,2,modular|moldura
bceeils,3,cesible|escible|cibeles
aaagllnort,2,tarangallo|tragallona
aelmouz,2,mazuelo|mozuela
aimtz,2,tamiz|matiz
ailsu,2,luisa|ilusa
aart,4,arta|rata|atar|tara
aagiru,3,auriga|guaria|guaira
eelprt,2,petrel|peltre
aaadelorrt,2,relatadora|alteradora
aadenors,3,enrasado|adonarse|sonadera
agiorrtu,2,guitarro|gurriato
alnué,2,aluén|énula
eiloorv,3,violero|olivero|velorio
eenot,2,etneo|enteo
aaceillrrr,2,carrillera|carrerilla
aeglnró,3,galerón|alegrón|regalón
aeoprrtí,2,pretoría|portería
acdfoorsu,2,sufocador|ofuscador
aeeprrs,5,serpear|repesar|represa|esperar|presera
aoprt,9,porta|rapto|parto|tropa|topar|optar|potra|trapo|potar
aacenost,3,cosetana|anascote|secatona
aabenrr,3,rebanar|barrena|enrabar
aceortuñ,2,cuatreño|cañutero
acost,5,tosca|tasco|costa|casto|catos
cinopró,2,proción|porción
aeiprst,2,espitar|perista
aabilorz,2,albarizo|robaliza
acdeehor,2,echadero|hacedero
aacgilné,2,galénica|angélica
abmru,3,umbra|rumba|bruma
acintó,2,tónica|catión
acinptó,2,capitón|póntica
aaeiprrs,2,arrepisa|parresia
aciiooprst,2,pastoricio|piscatorio
aaacelnrt,2,cantalear|cantarela
aadeoprrs,3,praderosa|separador|apresador
aaadgint,2,gitanada|gaditana
aacnost,4,toscana|costana|canasto|cantosa
choot,2,tocho|choto
aaceinprrt,2,carpintera|carpintear
ceehopr,2,repecho|pechero
ailnrstu,2,lustrina|insultar
aacnors,2,rascona|carnosa
aadgimorst,2,mastigador|magistrado
cdiinopró,2,prodición|podrición
aeorrtt,3,tortera|retrato|retorta
aabceinr,2,berciana|bacinera
aceelmr,2,almecer|reclame
accinoró,2,acrónico|corónica
acceor,2,cocera|cocear
aacdenort,3,acordante|encartado|contadera
aadelorrt,2,alterador|relatador
accno,2,conca|canco
aeflmor,3,femoral|almofre|flamero
aeegjrtuu,2,juguetear|juguetera
abilrs,2,silbar|brasil
ilno,2,noli|lino
aeemnrt,2,remante|ementar
aaadfilor,2,afrailado|afiladora
acdemor,2,comadre|mercado
aaeglot,3,galeota|galeato|alegato
aabmort,2,tambora|atambor
delmoo,2,modelo|olmedo
aefir,2,feria|fiera
cooors,2,socoro|rocoso
aabejlr,2,rebalaj|rajable
aioprsstt,2,tripastos|trispasto
aelors,4,solera|eslora|solear|salero
ceeloort,3,colorete|recoleto|coletero
aaeqrstu,3,tasquera|aquestar|rasqueta
beior,3,erbio|oribe|ebrio
aabilotv,2,ablativo|oblativa
almoá,2,álamo|ámalo
cchoooy,2,coyocho|chocoyo
aably,2,bayal|balay
aamr,3,amar|rama|arma
adeinor,4,denario|donaire|enriado|reinado
aaacdimr,2,racimada|caramida
aaddeorv,2,adverado|vadeador
abdeijlo,2,badilejo|diablejo
aaaacdmrs,2,adamascar|mascarada
elp,2,ple|pel
eeoqrtu,2,retoque|roquete
aaceimnnr,2,mancerina|encaminar
achlru,2,luchar|churla
aaceilmtz,2,almizcate|almizteca
aablorr,4,barloar|arbolar|laborar|arrobal
ceorrt,2,rector|torcer
aaimrsu,2,sumaria|samurai
aadegorrst,2,trasegador|estragador
adefiorr,3,freidora|feridora|aferidor
aeeegmnrstu,2,gruesamente|seguramente
aaclnr,2,carnal|anclar
adeoqruí,2,raquídeo|orquídea
abeelmns,2,ensembla|ensamble
aehorstí,2,heroísta|hostería
corsu,3,rusco|curso|surco
acepr,6,pecar|perca|pacer|cerpa|carpe|parce
ablru,3,albur|bular|burla
amrsu,2,musar|sumar
anort,7,antor|notar|trona|tonar|antro|tanor|torna
aalnootz,2,altozano|talonazo
aaadmr,3,ramada|armada|adamar
aaelmnrt,2,maternal|lamentar
aceioprt,7,trapecio|picotera|tapicero|capirote|picarote|proteica|picotear
aeorrstt,2,trastero|retostar
aerst,6,tesar|estar|tersa|aster|serta|resta
aclorr,3,corral|corlar|claror
aacimnr,2,canmiar|caminar
cdeor,4,credo|decor|cerdo|cedro
aaginpt,2,tapinga|pitanga
ceeorst,2,secreto|cestero
noort,3,torno|trono|notro
aaabcinr,4,rabicana|bancaria|abanicar|carabina
aaceelnst,2,alcatenes|escalante
aaacdhlnopr,3,planchadora|rodaplancha|aplanchador
aceinnors,2,censorina|incensora
eiimprrt,3,permitir|premitir|impertir
deeginorr,2,renegrido|engeridor
abeimnoort,3,morabetino|robamiento|teobromina
aclmnou,2,comunal|columna
aadinrtu,2,triduana|daturina
eglo,2,lego|gelo
adeemsu,2,medusea|demuesa
aiilmrt,2,militar|limitar
aceiprrst,2,rescripta|prescrita
abnortó,2,abortón|brótano
aadr,3,rada|adra|arda
aagorrt,3,garrota|atorgar|tarrago
ailms,2,misal|islam
achnpó,2,pachón|chapón
adiimo,2,idioma|daimio
aadegiorrs,2,arriesgado|desarraigo
adeelnpr,2,pedernal|alpendre
acnpó,2,pacón|capón
aafgrru,2,fraguar|fragura
ablnotó,2,botalón|lobatón
aaaglnu,2,aguanal|alaguna
abeinr,2,bernia|rebina
aaejlm,3,almeja|almaje|maleja
deeort,2,rodete|tedero
aglo,4,lago|algo|galo|gola
adeennorv,3,revendona|venenador|venerando
aaablnr,2,rabanal|albanar
aacchlu,2,calucha|cauchal
aejnot,3,jetona|antejo|tejano
acoz,2,cazo|zoca
aacimrr,2,cimarra|racimar
eortt,2,trote|tetro
aaerrtí,2,ratería|artería
aainrs,3,ansiar|sainar|anisar
aeiprs,6,espira|espiar|repisa|serpia|pesiar|priesa
aefinooprt,2,pianoforte|fortepiano
ablor,6,albor|borla|robla|labor|bolar|labro
aadenooprst,3,esportonada|aposentador|posentadora
aeoprs,7,apreso|espora|sopear|pasero|repaso|sopera|opresa
aadl,2,dala|lada
aeeilnrt,2,tinelera|lientera
aablmrru,2,alumbrar|umbralar
aeijv,2,viaje|vieja
aaclort,2,taracol|carlota
aelorst,4,soletar|saltero|resalto|soltera
bnrtuó,2,turbón|butrón
aabeellrst,2,ballestera|ballestear
cgilmooó,2,mogólico|micólogo
acehp,3,pecha|chepa|chape
ilort,2,litro|toril
efinor,2,refino|ferino
aeortv,2,ervato|verato
abelorr,2,arrebol|labrero
aeefinrrt,2,anteferir|refriante
acdemoor,3,comadreo|mocadero|comedora
aceelors,2,recelosa|calesero
aenprs,2,pensar|prensa
aabgirr,2,barriga|abrigar
adinortu,2,antruido|triduano
aelpst,2,pastel|plaste
aaabderrst,2,bastardear|desbaratar
achot,4,chato|tocha|chota|tacho
acdeenorr,4,cernedora|encerrado|encerador|cernadero
biils,2,sibil|bilis
aabrs,2,brasa|basar
aaailr,3,alaria|aralia|aliara
aaeenprt,2,aparente|panetera
cioot,2,tocio|coito
aagloy,3,aglayo|gayola|galayo
aaby,2,baya|yaba
aabcetu,2,beatuca|batueca
admu,2,duma|muda
aaablnrz,2,balanzar|labranza
aagirt,3,garita|agitar|artiga
aacelnrt,2,canterla|calentar
aacdemorrí,2,comadrería|mercadoría
aciilr,3,cirial|ricial|ciliar
acenru,3,cunear|cuerna|cunera
ablmru,3,umbral|brumal|lumbar
giort,2,trigo|grito
acersu,4,cesura|cerusa|secura|escura
deiorrstu,2,surtidero|resurtido
aabcdir,2,cribada|abdicar
aachoprr,3,pachorra|parrocha|chaparro
aabcruz,3,bazucar|arcabuz|zabucar
aaacdop,2,apocada|acopada
aeloz,2,zaleo|alezo
aacddeoru,2,educadora|acuerdado
eiorsv,2,servio|siervo
aciprsé,2,pérsica|aciprés
aemorr,5,armero|romera|marero|ramero|morera
aenoqrru,2,ronquera|ronquear
abcemorr,2,embrocar|corambre
aaaacdllor,2,acollarada|acalladora
aailrñ,3,añilar|aliñar|arañil
imost,2,misto|istmo
aaadeeprrs,2,repasadera|desaparear
aacddir,2,cidrada|caridad
adelu,3,duela|laude|leuda
beoort,2,botero|retobo
aaaderrst,2,rastreada|arrestada
acnu,2,cuan|cuna
aailrtv,2,altivar|aviltar
aaaglr,2,alagar|algara
aaimnt,2,manita|matina
aacmruz,2,zumacar|mazurca
aacimnó,2,amación|amónica
acdeenr,2,acender|decenar
coopr,2,porco|proco
acefr,2,cafre|facer
aadiortz,2,artizado|atizador
acenorrsv,2,conversar|conservar
adeemrr,2,derrame|remedar
aefstu,3,estufa|futesa|afuste
aeilmopr,2,proemial|empiolar
booost,2,toboso|botoso
aaglopr,3,galopar|garlopa|agolpar
aaiimnnot,2,antonimia|antinomia
abgor,2,bogar|garbo
aaeilnrrst,2,reinstalar|traslinear
abbeor,3,bobear|babero|bobera
abeillr,2,libelar|liberal
aaemnprt,3,rampante|tempanar|temprana
aeilrsí,2,israelí|silería
aaddor,4,dorada|dadora|rodada|adrado
bgilmnoró,2,lombrigón|golimbrón
aaelnort,4,alaterno|talonera|talonear|altanero
iort,3,tiro|rito|otri
ioopstó,2,opósito|isótopo
acdirtu,2,curtida|acritud
aamprs,2,pasmar|prasma
aabelrr,3,labrera|barreal|relabra
ceeorrt,6,cetrero|recetor|erector|tercero|certero|recorte
ejot,3,jeto|tejo|jote
aadegrru,2,reguarda|regadura
cehop,3,chope|pecho|chepo
aaelnrt,3,alterna|enlatar|alentar
aorrz,4,rozar|arroz|zorra|orzar
aeilnnorst,2,insolentar|enlistonar
eilmot,2,metilo|melito
aacdenoorrsv,2,conservadora|conversadora
aacdeil,2,acleida|alcaide
accenos,2,concesa|accenso
aefinnt,2,infante|enfinta
aagjnru,2,grajuna|granuja
accehinr,2,enchicar|cinchera
aadenop,2,peonada|panadeo
aceilstá,2,tesálica|elástica
ailloprt,4,tropilla|potrilla|portilla|trapillo
aclor,6,alcor|coral|calor|corla|claro|colar
gilnoosu,2,longuiso|ulginoso
aegjru,2,juerga|jeruga
aadeenoprtz,2,entropezada|panderetazo
ainooss,2,sanioso|ansioso
abdeo,2,adobe|beoda
aeehlr,2,helera|helear
acor,5,roca|cora|caro|arco|orca
afgior,3,garfio|grafio|garifo
aefjor,2,fajero|refajo
cioptó,2,óptico|tópico
abelors,5,bolsera|balsero|bolsear|salobre|boleras
acelopr,7,carpelo|procela|coplera|copelar|placero|coplear|caperol
aeilorst,2,salterio|tirolesa
alopt,2,plato|palto
aceprs,2,pescar|crespa
aaeegrrt,2,regatear|regatera
aadlmo,3,lomada|molada|dolama
adgiorr,3,garrido|rodriga|girador
aadimrr,4,maridar|admirar|marrida|mirrada
aagmm,2,magma|gamma
aaabcmr,2,caramba|macabra
aaglnu,4,alguna|laguna|angula|nagual
agmoors,3,gramoso|orgasmo|margoso
aaadginorstu,2,angustiadora|santiguadora
ainptá,2,pátina|tinapá
aachmorr,3,machorra|chamorra|chamarro
aefnorrs,2,ferronas|sofrenar
aanorz,2,anorza|nazora
aamnorr,3,romanar|marrano|namorar
aceenoprrt,2,procreante|percontear
aeprrt,2,reptar|trepar
aimorr,2,ramiro|arrimo
elot,2,lote|tole
aaemnqru,2,manquear|manquera
aacgiu,3,caigua|guacia|agucia
egilnot,2,lingote|lentigo
dino,3,dino|indo|nido
aelmu,2,muela|ulema
aacdiors,2,caridosa|radicosa
aadmnot,2,mandato|montada
ailnoop,2,polonia|opalino
acinró,3,acirón|ración|arción
aaademrs,3,masadera|adamarse|asmadera
aabinot,2,tobiana|tanobia
aadimorr,3,amarrido|miradora|rimadora
aaeinrtv,2,variante|vinatera
aenooprstt,2,portentosa|soportante
aaelprst,2,espartal|palestra
aaforr,2,aforra|aforar
aablt,3,balta|tabal|tabla
eoorrst,3,ostrero|sortero|terroso
aceiinrt,2,incierta|cinteria
achnot,2,chonta|chanto
aaiimnrst,2,amnistiar|marinista
aaacemnrt,2,matancera|racamenta
adinno,2,andino|ondina
aaceft,2,faceta|afecta
aadeeprst,3,estrepada|pederasta|espadarte
adelopr,2,prelado|pelador
aabbdor,2,babador|barbado
aaeginrrstu,2,estranguria|estangurria
aaglmr,2,margal|gramal
aaacdlmor,2,aclamador|malcarado
acdior,4,criado|darico|adocir|coidar
aenoprt,3,poterna|paterno|pontear
ddeimoí,2,didímeo|emídido
aadfil,2,filada|falida
abdilorr,2,librador|birlador
eort,4,treo|otre|tero|reto
alov,2,oval|avol
emoort,2,motero|remoto
aabnoy,2,bayona|bayano
acefinnor,2,fornecina|encofinar
aaceinrrt,3,cintarear|cetrarina|acetrinar
aeelmr,3,lemera|realme|melera
aabgoz,2,gabazo|bagazo
aaenors,3,roanesa|oranesa|arenosa
aginrs,2,signar|singar
acilru,2,licuar|curial
aadinñ,2,niñada|dañina
aehorrt,2,reharto|hortera
aceeltv,2,calvete|clavete
adopr,3,pardo|prado|podar
eeimnorst,2,tremesino|entremiso
aabln,2,nabla|nabal
aacdloru,2,colaudar|coladura
aadelrt,2,letrada|delatar
aalmorrz,2,mazorral|almorzar
adeiprz,3,rapidez|pedriza|pardiez
adors,3,rodas|sardo|sorda
acenorst,2,ternasco|escontra
aeorrst,9,asertor|arresto|sortera|ostrera|rastreo|retraso|terrosa|sortear|trasero
aacdeillrs,2,caderillas|escardilla
acceinor,2,cocinera|recocina
aaemrrt,3,retamar|rematar|matrera
ademnos,2,desmano|mendosa
ioorstu,2,sutorio|ustorio
